Date,Customers,Year,Month
1949-01-01,114.0,1949,1
1949-02-01,120.0,1949,2
1949-03-01,134.0,1949,3
1949-04-01,67.0,1949,4
1949-05-01,123.0,1949,5
1949-06-01,137.0,1949,6
1949-07-01,150.0,1949,7
1949-08-01,50.0,1949,8
1949-09-01,138.0,1949,9
1949-10-01,121.0,1949,10
1949-11-01,106.0,1949,11
1949-12-01,34.0,1949,12
1950-01-01,117.0,1950,1
1950-02-01,128.0,1950,2
1950-03-01,143.0,1950,3
1950-04-01,137.0,1950,4
1950-05-01,127.0,1950,5
1950-06-01,151.0,1950,6
1950-07-01,172.0,1950,7
1950-08-01,172.0,1950,8
1950-09-01,159.0,1950,9
1950-10-01,135.0,1950,10
1950-11-01,116.0,1950,11
1950-12-01,142.0,1950,12
1951-01-01,147.0,1951,1
1951-02-01,152.0,1951,2
1951-03-01,180.0,1951,3
1951-04-01,165.0,1951,4
1951-05-01,174.0,1951,5
1951-06-01,291.87857142857143,1951,6
1951-07-01,291.87857142857143,1951,7
1951-08-01,201.0,1951,8
1951-09-01,184.0,1951,9
1951-10-01,162.0,1951,10
1951-11-01,146.0,1951,11
1951-12-01,166.0,1951,12
1952-01-01,171.0,1952,1
1952-02-01,180.0,1952,2
1952-03-01,193.0,1952,3
1952-04-01,181.0,1952,4
1952-05-01,183.0,1952,5
1952-06-01,218.0,1952,6
1952-07-01,230.0,1952,7
1952-08-01,242.0,1952,8
1952-09-01,209.0,1952,9
1952-10-01,191.0,1952,10
1952-11-01,172.0,1952,11
1952-12-01,194.0,1952,12
1953-01-01,196.0,1953,1
1953-02-01,196.0,1953,2
1953-03-01,236.0,1953,3
1953-04-01,235.0,1953,4
1953-05-01,229.0,1953,5
1953-06-01,243.0,1953,6
1953-07-01,264.0,1953,7
1953-08-01,272.0,1953,8
1953-09-01,237.0,1953,9
1953-10-01,211.0,1953,10
1953-11-01,180.0,1953,11
1953-12-01,201.0,1953,12
1954-01-01,204.0,1954,1
1954-02-01,188.0,1954,2
1954-03-01,235.0,1954,3
1954-04-01,227.0,1954,4
1954-05-01,234.0,1954,5
1954-06-01,291.87857142857143,1954,6
1954-07-01,302.0,1954,7
1954-08-01,293.0,1954,8
1954-09-01,259.0,1954,9
1954-10-01,229.0,1954,10
1954-11-01,203.0,1954,11
1954-12-01,229.0,1954,12
1955-01-01,242.0,1955,1
1955-02-01,233.0,1955,2
1955-03-01,267.0,1955,3
1955-04-01,269.0,1955,4
1955-05-01,270.0,1955,5
1955-06-01,315.0,1955,6
1955-07-01,364.0,1955,7
1955-08-01,347.0,1955,8
1955-09-01,312.0,1955,9
1955-10-01,274.0,1955,10
1955-11-01,237.0,1955,11
1955-12-01,278.0,1955,12
1956-01-01,284.0,1956,1
1956-02-01,277.0,1956,2
1956-03-01,317.0,1956,3
1956-04-01,313.0,1956,4
1956-05-01,318.0,1956,5
1956-06-01,374.0,1956,6
1956-07-01,413.0,1956,7
1956-08-01,405.0,1956,8
1956-09-01,355.0,1956,9
1956-10-01,306.0,1956,10
1956-11-01,271.0,1956,11
1956-12-01,306.0,1956,12
1957-01-01,315.0,1957,1
1957-02-01,301.0,1957,2
1957-03-01,356.0,1957,3
1957-04-01,348.0,1957,4
1957-05-01,355.0,1957,5
1957-06-01,367.0,1957,6
1957-07-01,465.0,1957,7
1957-08-01,467.0,1957,8
1957-09-01,404.0,1957,9
1957-10-01,412.0,1957,10
1957-11-01,305.0,1957,11
1957-12-01,336.0,1957,12
1958-01-01,245.0,1958,1
1958-02-01,318.0,1958,2
1958-03-01,362.0,1958,3
1958-04-01,700.0,1958,4
1958-05-01,363.0,1958,5
1958-06-01,435.0,1958,6
1958-07-01,491.0,1958,7
1958-08-01,457.0,1958,8
1958-09-01,404.0,1958,9
1958-10-01,359.0,1958,10
1958-11-01,389.0,1958,11
1958-12-01,337.0,1958,12
1959-01-01,412.0,1959,1
1959-02-01,342.0,1959,2
1959-03-01,406.0,1959,3
1959-04-01,396.0,1959,4
1959-05-01,420.0,1959,5
1959-06-01,472.0,1959,6
1959-07-01,548.0,1959,7
1959-08-01,559.0,1959,8
1959-09-01,710.0,1959,9
1959-10-01,407.0,1959,10
1959-11-01,362.0,1959,11
1959-12-01,405.0,1959,12
1960-01-01,417.0,1960,1
1960-02-01,391.0,1960,2
1960-03-01,291.87857142857143,1960,3
1960-04-01,461.0,1960,4
1960-05-01,472.0,1960,5
1960-06-01,770.0,1960,6
1960-07-01,622.0,1960,7
1960-08-01,606.0,1960,8
1960-09-01,508.0,1960,9
1960-10-01,720.0,1960,10
1960-11-01,750.0,1960,11
1960-12-01,732.0,1960,12
